code,description
V889,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic, initial encounter"
V890,"Person injured in unspecified motor-vehicle accident, nontraffic, initial encounter"
V891,"Person injured in unspecified nonmotor-vehicle accident, nontraffic, initial encounter"
V892,"Person injured in unspecified motor-vehicle accident, traffic, initial encounter"
V893,"Person injured in unspecified nonmotor-vehicle accident, traffic, initial encounter"
V899,"Person injured in unspecified vehicle accident, initial encounter"
V900,"Drowning and submersion due to merchant ship overturning, initial encounter"
V901,"Drowning and submersion due to merchant ship sinking, initial encounter"
V902,"Drowning and submersion due to falling or jumping from burning merchant ship, initial encounter"
V903,"Drowning and submersion due to falling or jumping from crushed merchant ship, initial encounter"
V908,"Drowning and submersion due to other accident to merchant ship, initial encounter"
V910,"Burn due to merchant ship on fire, initial encounter"
V911,"Crushed between merchant ship and other watercraft or other object due to collision, initial encounter"
V912,"Fall due to collision between merchant ship and other watercraft or other object, initial encounter"
V913,"Hit or struck by falling object due to accident to merchant ship, initial encounter"
V918,"Other injury due to other accident to merchant ship, initial encounter"
V920,"Drowning and submersion due to fall off merchant ship, initial encounter"
V921,"Drowning and submersion due to being thrown overboard by motion of merchant ship, initial encounter"
V922,"Drowning and submersion due to being washed overboard from merchant ship, initial encounter"
V930,"Burn due to localized fire on board merchant vessel, initial encounter"
V931,"Other burn on board merchant vessel, initial encounter"
V932,"Heat exposure on board merchant ship, initial encounter"
V933,"Fall on board merchant ship, initial encounter"
V934,"Struck by falling object on merchant ship, initial encounter"
V935,"Explosion on board merchant ship, initial encounter"
V936,"Machinery accident on board merchant ship, initial encounter"
V938,"Other injury due to other accident on board merchant ship, initial encounter"
V940,"Hitting object or bottom of body of water due to fall from watercraft, initial encounter"
V941,"Bather struck by powered watercraft, initial encounter"
V942,"Rider of nonpowered watercraft struck by other nonpowered watercraft, initial encounter"
V943,"Injury to rider of (inflatable) recreational watercraft being pulled behind other watercraft, initial encounter"
V944,"Injury to barefoot water-skier, initial encounter"
V948,"Civilian watercraft involved in water transport accident with military watercraft, initial encounter"
V949,"Unspecified water transport accident, initial encounter"
V950,"Unspecified helicopter accident injuring occupant, initial encounter"
V951,"Unspecified ultralight, microlight or powered-glider accident injuring occupant, initial encounter"
V952,"Unspecified accident to other private fixed-wing aircraft, injuring occupant, initial encounter"
V953,"Unspecified accident to commercial fixed-wing aircraft injuring occupant, initial encounter"
V954,"Unspecified spacecraft accident injuring occupant, initial encounter"
V958,"Other powered aircraft accidents injuring occupant, initial encounter"
V959,"Unspecified aircraft accident injuring occupant, initial encounter"
V960,"Unspecified balloon accident injuring occupant, initial encounter"
V961,"Unspecified hang-glider accident injuring occupant, initial encounter"
V962,"Unspecified glider (nonpowered) accident injuring occupant, initial encounter"
V968,"Other nonpowered-aircraft accidents injuring occupant, initial encounter"
V969,"Unspecified nonpowered-aircraft accident injuring occupant, initial encounter"
V970,"Occupant of aircraft injured in other specified air transport accidents, initial encounter"
V971,"Person injured while boarding or alighting from aircraft, initial encounter"
V972,"Parachutist entangled in object, initial encounter"
V973,"Hit by object falling from aircraft, initial encounter"
V978,"Civilian aircraft involved in air transport accident with military aircraft, initial encounter"
V980,"Accident to, on or involving cable-car, not on rails, initial encounter"
V981,"Accident to, on or involving land-yacht, initial encounter"
V982,"Accident to, on or involving ice yacht, initial encounter"
V983,"Accident to, on or involving ski lift, initial encounter"
V988,"Other specified transport accidents, initial encounter"
V99X,"Unspecified transport accident, initial encounter"
W000,"Fall on same level due to ice and snow, initial encounter"
W001,"Fall from stairs and steps due to ice and snow, initial encounter"
W002,"Other fall from one level to another due to ice and snow, initial encounter"
W009,"Unspecified fall due to ice and snow, initial encounter"
W010,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, initial encounter"
W011,"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object, initial encounter"
W03X,"Other fall on same level due to collision with another person, initial encounter"
W04X,"Fall while being carried or supported by other persons, initial encounter"
W050,"Fall from non-moving wheelchair, initial encounter"
W051,"Fall from non-moving nonmotorized scooter, initial encounter"
W052,"Fall from non-moving motorized mobility scooter, initial encounter"
W06X,"Fall from bed, initial encounter"
W07X,"Fall from chair, initial encounter"
W08X,"Fall from other furniture, initial encounter"
W090,"Fall on or from playground slide, initial encounter"
W091,"Fall from playground swing, initial encounter"
W092,"Fall on or from jungle gym, initial encounter"
W098,"Fall on or from other playground equipment, initial encounter"
W100,"Fall (on)(from) escalator, initial encounter"
W101,"Fall (on)(from) sidewalk curb, initial encounter"
W102,"Fall (on)(from) incline, initial encounter"
W108,"Fall (on) (from) other stairs and steps, initial encounter"
W109,"Fall (on) (from) unspecified stairs and steps, initial encounter"
W11X,"Fall on and from ladder, initial encounter"
W12X,"Fall on and from scaffolding, initial encounter"
W130,"Fall from, out of or through balcony, initial encounter"
W131,"Fall from, out of or through bridge, initial encounter"
W132,"Fall from, out of or through roof, initial encounter"
W133,"Fall through floor, initial encounter"
W134,"Fall from, out of or through window, initial encounter"
W138,"Fall from, out of or through other building or structure, initial encounter"
W139,"Fall from, out of or through building, not otherwise specified, initial encounter"
W14X,"Fall from tree, initial encounter"
W15X,"Fall from cliff, initial encounter"
W160,"Fall into swimming pool striking water surface causing drowning and submersion, initial encounter"
W161,"Fall into natural body of water striking water surface causing drowning and submersion, initial encounter"
W162,"Fall in (into) filled bathtub causing drowning and submersion, initial encounter"
W163,"Fall into other water striking water surface causing drowning and submersion, initial encounter"
W164,"Fall into unspecified water causing drowning and submersion, initial encounter"
W165,"Jumping or diving into swimming pool striking water surface causing drowning and submersion, initial encounter"
W166,"Jumping or diving into natural body of water striking water surface causing drowning and submersion, initial encounter"
W167,"Jumping or diving from boat striking water surface causing drowning and submersion, initial encounter"
W168,"Jumping or diving into other water striking water surface causing drowning and submersion, initial encounter"
W169,"Jumping or diving into unspecified water causing drowning and submersion, initial encounter"
W170,"Fall into well, initial encounter"
W171,"Fall into storm drain or manhole, initial encounter"
W172,"Fall into hole, initial encounter"
W173,"Fall into empty swimming pool, initial encounter"
W174,"Fall from dock, initial encounter"
W178,"Fall down embankment (hill), initial encounter"
W180,"Striking against unspecified object with subsequent fall, initial encounter"
W181,"Fall from or off toilet without subsequent striking against object, initial encounter"
W182,"Fall in (into) shower or empty bathtub, initial encounter"
W183,"Fall on same level, unspecified, initial encounter"
W184,"Slipping, tripping and stumbling without falling, unspecified, initial encounter"
W19X,"Unspecified fall, initial encounter"
W200,"Struck by falling object in cave-in, initial encounter"
W201,"Struck by object due to collapse of building, initial encounter"
W208,"Other cause of strike by thrown, projected or falling object, initial encounter"
W210,"Struck by hit or thrown ball, unspecified type, initial encounter"
W211,"Struck by baseball bat, initial encounter"
W212,"Struck by ice hockey stick, initial encounter"
W213,"Struck by shoe cleats, initial encounter"
W214,"Striking against diving board, initial encounter"
W218,"Striking against or struck by football helmet, initial encounter"
W219,"Striking against or struck by unspecified sports equipment, initial encounter"
W220,"Walked into wall, initial encounter"
W221,"Striking against or struck by unspecified automobile airbag, initial encounter"
W228,"Striking against or struck by other objects, initial encounter"
W230,"Caught, crushed, jammed, or pinched between moving objects, initial encounter"
W231,"Caught, crushed, jammed, or pinched between stationary objects, initial encounter"
W240,"Contact with lifting devices, not elsewhere classified, initial encounter"
W241,"Contact with transmission devices, not elsewhere classified, initial encounter"
W25X,"Contact with sharp glass, initial encounter"
W260,"Contact with knife, initial encounter"
W261,"Contact with sword or dagger, initial encounter"
W262,"Contact with edge of stiff paper, initial encounter"
W268,"Contact with other sharp object(s), not elsewhere classified, initial encounter"
W269,"Contact with unspecified sharp object(s), initial encounter"
W270,"Contact with workbench tool, initial encounter"
W271,"Contact with garden tool, initial encounter"
W272,"Contact with scissors, initial encounter"
W273,"Contact with needle (sewing), initial encounter"
W274,"Contact with kitchen utensil, initial encounter"
W275,"Contact with paper-cutter, initial encounter"
W278,"Contact with other nonpowered hand tool, initial encounter"
W28X,"Contact with powered lawn mower, initial encounter"
W290,"Contact with powered kitchen appliance, initial encounter"
W291,"Contact with electric knife, initial encounter"
W292,"Contact with other powered household machinery, initial encounter"
W293,"Contact with powered garden and outdoor hand tools and machinery, initial encounter"
W294,"Contact with nail gun, initial encounter"
W298,"Contact with other powered hand tools and household machinery, initial encounter"
W300,"Contact with combine harvester, initial encounter"
W301,"Contact with power take-off devices (PTO), initial encounter"
W302,"Contact with hay derrick, initial encounter"
W303,"Contact with grain storage elevator, initial encounter"
W308,"Contact with agricultural transport vehicle in stationary use, initial encounter"
W309,"Contact with unspecified agricultural machinery, initial encounter"
W310,"Contact with mining and earth-drilling machinery, initial encounter"
W311,"Contact with metalworking machines, initial encounter"
W312,"Contact with powered woodworking and forming machines, initial encounter"
W313,"Contact with prime movers, initial encounter"
W318,"Contact with recreational machinery, initial encounter"
W319,"Contact with unspecified machinery, initial encounter"
W320,"Accidental handgun discharge, initial encounter"
W321,"Accidental handgun malfunction, initial encounter"
W330,"Accidental discharge of unspecified larger firearm, initial encounter"
W331,"Accidental malfunction of unspecified larger firearm, initial encounter"
W340,"Accidental discharge from unspecified firearms or gun, initial encounter"
W341,"Accidental malfunction from unspecified firearms or gun, initial encounter"
W35X,"Explosion and rupture of boiler, initial encounter"
W361,"Explosion and rupture of aerosol can, initial encounter"
W362,"Explosion and rupture of air tank, initial encounter"
W363,"Explosion and rupture of pressurized-gas tank, initial encounter"
W368,"Explosion and rupture of other gas cylinder, initial encounter"
W369,"Explosion and rupture of unspecified gas cylinder, initial encounter"
W370,"Explosion of bicycle tire, initial encounter"
W378,"Explosion and rupture of other pressurized tire, pipe or hose, initial encounter"
W38X,"Explosion and rupture of other specified pressurized devices, initial encounter"
W39X,"Discharge of firework, initial encounter"
W400,"Explosion of blasting material, initial encounter"
W401,"Explosion of explosive gases, initial encounter"
W408,"Explosion of other specified explosive materials, initial encounter"
W409,"Explosion of unspecified explosive materials, initial encounter"
W420,"Exposure to supersonic waves, initial encounter"
W429,"Exposure to other noise, initial encounter"
W450,"Nail entering through skin, initial encounter"
W458,"Other foreign body or object entering through skin, initial encounter"
W460,"Contact with hypodermic needle, initial encounter"
W461,"Contact with contaminated hypodermic needle, initial encounter"
W490,"Hair causing external constriction, initial encounter"
W499,"Exposure to other inanimate mechanical forces, initial encounter"
W500,"Accidental hit or strike by another person, initial encounter"
W501,"Accidental kick by another person, initial encounter"
W502,"Accidental twist by another person, initial encounter"
W503,"Accidental bite by another person, initial encounter"
W504,"Accidental scratch by another person, initial encounter"
W51X,"Accidental striking against or bumped into by another person, initial encounter"
W52X,"Crushed, pushed or stepped on by crowd or human stampede, initial encounter"
W530,"Bitten by mouse, initial encounter"
W531,"Bitten by rat, initial encounter"
W532,"Bitten by squirrel, initial encounter"
W538,"Bitten by other rodent, initial encounter"
W540,"Bitten by dog, initial encounter"
W541,"Struck by dog, initial encounter"
W548,"Other contact with dog, initial encounter"
W550,"Bitten by cat, initial encounter"
W551,"Bitten by horse, initial encounter"
W552,"Bitten by cow, initial encounter"
W553,"Bitten by other hoof stock, initial encounter"
W554,"Bitten by pig, initial encounter"
W555,"Bitten by raccoon, initial encounter"
W558,"Bitten by other mammals, initial encounter"
W560,"Bitten by dolphin, initial encounter"
W561,"Bitten by sea lion, initial encounter"
W562,"Bitten by orca, initial encounter"
W563,"Bitten by other marine mammals, initial encounter"
W564,"Bitten by shark, initial encounter"
W565,"Bitten by other fish, initial encounter"
W568,"Bitten by other nonvenomous marine animals, initial encounter"
W57X,"Bitten or stung by nonvenomous insect and other nonvenomous arthropods, initial encounter"
W580,"Bitten by alligator, initial encounter"
W581,"Bitten by crocodile, initial encounter"
W590,"Bitten by nonvenomous lizards, initial encounter"
W591,"Bitten by nonvenomous snake, initial encounter"
W592,"Bitten by turtle, initial encounter"
W598,"Bitten by other nonvenomous reptiles, initial encounter"
W60X,"Contact with nonvenomous plant thorns and spines and sharp leaves, initial encounter"
W610,"Bitten by parrot, initial encounter"
W611,"Bitten by macaw, initial encounter"
W612,"Bitten by other psittacines, initial encounter"
W613,"Struck by chicken, initial encounter"
W614,"Struck by turkey, initial encounter"
W615,"Bitten by goose, initial encounter"
W616,"Bitten by duck, initial encounter"
W619,"Bitten by other birds, initial encounter"
W620,"Contact with nonvenomous frogs, initial encounter"
W621,"Contact with nonvenomous toads, initial encounter"
W629,"Contact with other nonvenomous amphibians, initial encounter"
W64X,"Exposure to other animate mechanical forces, initial encounter"
W65X,"Accidental drowning and submersion while in bath-tub, initial encounter"
W67X,"Accidental drowning and submersion while in swimming-pool, initial encounter"
W69X,"Accidental drowning and submersion while in natural water, initial encounter"
W73X,"Other specified cause of accidental non-transport drowning and submersion, initial encounter"
W74X,"Unspecified cause of accidental drowning and submersion, initial encounter"
W85X,"Exposure to electric transmission lines, initial encounter"
W860,"Exposure to domestic wiring and appliances, initial encounter"
W861,"Exposure to industrial wiring, appliances and electrical machinery, initial encounter"
W868,"Exposure to other electric current, initial encounter"
W880,"Exposure to X-rays, initial encounter"
W881,"Exposure to radioactive isotopes, initial encounter"
W888,"Exposure to other ionizing radiation, initial encounter"
W890,"Exposure to welding light (arc), initial encounter"
W891,"Exposure to tanning bed, initial encounter"
W898,"Exposure to other man-made visible and ultraviolet light, initial encounter"
W899,"Exposure to unspecified man-made visible and ultraviolet light, initial encounter"
W900,"Exposure to radiofrequency, initial encounter"
W901,"Exposure to infrared radiation, initial encounter"
W902,"Exposure to laser radiation, initial encounter"
W908,"Exposure to other nonionizing radiation, initial encounter"
W92X,"Exposure to excessive heat of man-made origin, initial encounter"
W930,"Contact with dry ice, initial encounter"
W931,"Contact with liquid air, initial encounter"
W932,"Prolonged exposure in deep freeze unit or refrigerator, initial encounter"
W938,"Exposure to other excessive cold of man-made origin, initial encounter"
W940,"Exposure to prolonged high air pressure, initial encounter"
W941,"Exposure to residence or prolonged visit at high altitude, initial encounter"
W942,"Exposure to reduction in atmospheric pressure while surfacing from deep-water diving, initial encounter"
W943,"Exposure to sudden change in air pressure in aircraft during descent, initial encounter"
W99X,"Exposure to other man-made environmental factors, initial encounter"
X000,"Exposure to flames in uncontrolled fire in building or structure, initial encounter"
X001,"Exposure to smoke in uncontrolled fire in building or structure, initial encounter"
X002,"Injury due to collapse of burning building or structure in uncontrolled fire, initial encounter"
X003,"Fall from burning building or structure in uncontrolled fire, initial encounter"
X004,"Hit by object from burning building or structure in uncontrolled fire, initial encounter"
X005,"Jump from burning building or structure in uncontrolled fire, initial encounter"
X008,"Other exposure to uncontrolled fire in building or structure, initial encounter"
X010,"Exposure to flames in uncontrolled fire, not in building or structure, initial encounter"
X011,"Exposure to smoke in uncontrolled fire, not in building or structure, initial encounter"
X013,"Fall due to uncontrolled fire, not in building or structure, initial encounter"
X014,"Hit by object due to uncontrolled fire, not in building or structure, initial encounter"
X018,"Other exposure to uncontrolled fire, not in building or structure, initial encounter"
X020,"Exposure to flames in controlled fire in building or structure, initial encounter"
X021,"Exposure to smoke in controlled fire in building or structure, initial encounter"
X022,"Injury due to collapse of burning building or structure in controlled fire, initial encounter"
X023,"Fall from burning building or structure in controlled fire, initial encounter"
X024,"Hit by object from burning building or structure in controlled fire, initial encounter"
X025,"Jump from burning building or structure in controlled fire, initial encounter"
X028,"Other exposure to controlled fire in building or structure, initial encounter"
X030,"Exposure to flames in controlled fire, not in building or structure, initial encounter"
X031,"Exposure to smoke in controlled fire, not in building or structure, initial encounter"
X033,"Fall due to controlled fire, not in building or structure, initial encounter"
X034,"Hit by object due to controlled fire, not in building or structure, initial encounter"
X038,"Other exposure to controlled fire, not in building or structure, initial encounter"
X04X,"Exposure to ignition of highly flammable material, initial encounter"
X05X,"Exposure to ignition or melting of nightwear, initial encounter"
X060,"Exposure to ignition of plastic jewelry, initial encounter"
X061,"Exposure to melting of plastic jewelry, initial encounter"
X062,"Exposure to ignition of other clothing and apparel, initial encounter"
X063,"Exposure to melting of other clothing and apparel, initial encounter"
X080,"Exposure to bed fire due to unspecified burning material, initial encounter"
X081,"Exposure to sofa fire due to unspecified burning material, initial encounter"
X082,"Exposure to other furniture fire due to unspecified burning material, initial encounter"
X088,"Exposure to other specified smoke, fire and flames, initial encounter"
X100,"Contact with hot drinks, initial encounter"
X101,"Contact with hot food, initial encounter"
X102,"Contact with fats and cooking oils, initial encounter"
X110,"Contact with hot water in bath or tub, initial encounter"
X111,"Contact with running hot water, initial encounter"
X118,"Contact with other hot tap-water, initial encounter"
X12X,"Contact with other hot fluids, initial encounter"
X130,"Inhalation of steam and other hot vapors, initial encounter"
X131,"Other contact with steam and other hot vapors, initial encounter"
X140,"Inhalation of hot air and gases, initial encounter"
X141,"Other contact with hot air and other hot gases, initial encounter"
X150,"Contact with hot stove (kitchen), initial encounter"
X151,"Contact with hot toaster, initial encounter"
X152,"Contact with hotplate, initial encounter"
X153,"Contact with hot saucepan or skillet, initial encounter"
X158,"Contact with other hot household appliances, initial encounter"
X16X,"Contact with hot heating appliances, radiators and pipes, initial encounter"
X17X,"Contact with hot engines, machinery and tools, initial encounter"
X18X,"Contact with other hot metals, initial encounter"
X19X,"Contact with other heat and hot substances, initial encounter"
X30X,"Exposure to excessive natural heat, initial encounter"
X31X,"Exposure to excessive natural cold, initial encounter"
X32X,"Exposure to sunlight, initial encounter"
X34X,"Earthquake, initial encounter"
X35X,"Volcanic eruption, initial encounter"
X360,"Collapse of dam or man-made structure causing earth movement, initial encounter"
X361,"Avalanche, landslide, or mudslide, initial encounter"
X370,"Hurricane, initial encounter"
X371,"Tornado, initial encounter"
X372,"Blizzard (snow)(ice), initial encounter"
X373,"Dust storm, initial encounter"
X374,"Tidal wave due to earthquake or volcanic eruption, initial encounter"
X378,"Other cataclysmic storms, initial encounter"
X379,"Unspecified cataclysmic storm, initial encounter"
X38X,"Flood, initial encounter"
X390,"Exposure to radon, initial encounter"
X398,"Other exposure to forces of nature, initial encounter"
X500,"Overexertion from strenuous movement or load, initial encounter"
X501,"Overexertion from prolonged static or awkward postures, initial encounter"
X503,"Overexertion from repetitive movements, initial encounter"
X509,"Other and unspecified overexertion or strenuous movements or postures, initial encounter"
X52X,"Prolonged stay in weightless environment, initial encounter"
X58X,"Exposure to other specified factors, initial encounter"
X710,"Intentional self-harm by drowning and submersion while in bathtub, initial encounter"
X711,"Intentional self-harm by drowning and submersion while in swimming pool, initial encounter"
X712,"Intentional self-harm by drowning and submersion after jump into swimming pool, initial encounter"
X713,"Intentional self-harm by drowning and submersion in natural water, initial encounter"
X718,"Other intentional self-harm by drowning and submersion, initial encounter"
X719,"Intentional self-harm by drowning and submersion, unspecified, initial encounter"
X72X,"Intentional self-harm by handgun discharge, initial encounter"
X730,"Intentional self-harm by shotgun discharge, initial encounter"
X731,"Intentional self-harm by hunting rifle discharge, initial encounter"
X732,"Intentional self-harm by machine gun discharge, initial encounter"
X738,"Intentional self-harm by other larger firearm discharge, initial encounter"
X739,"Intentional self-harm by unspecified larger firearm discharge, initial encounter"
X740,"Intentional self-harm by airgun, initial encounter"
X748,"Intentional self-harm by other firearm discharge, initial encounter"
X749,"Intentional self-harm by unspecified firearm discharge, initial encounter"
X75X,"Intentional self-harm by explosive material, initial encounter"
X76X,"Intentional self-harm by smoke, fire and flames, initial encounter"
X770,"Intentional self-harm by steam or hot vapors, initial encounter"
X771,"Intentional self-harm by hot tap water, initial encounter"
X772,"Intentional self-harm by other hot fluids, initial encounter"
X773,"Intentional self-harm by hot household appliances, initial encounter"
X778,"Intentional self-harm by other hot objects, initial encounter"
X779,"Intentional self-harm by unspecified hot objects, initial encounter"
X780,"Intentional self-harm by sharp glass, initial encounter"
X781,"Intentional self-harm by knife, initial encounter"
X782,"Intentional self-harm by sword or dagger, initial encounter"
X788,"Intentional self-harm by other sharp object, initial encounter"
X789,"Intentional self-harm by unspecified sharp object, initial encounter"
X79X,"Intentional self-harm by blunt object, initial encounter"
X80X,"Intentional self-harm by jumping from a high place, initial encounter"
X810,"Intentional self-harm by jumping or lying in front of motor vehicle, initial encounter"
X811,"Intentional self-harm by jumping or lying in front of (subway) train, initial encounter"
X818,"Intentional self-harm by jumping or lying in front of other moving object, initial encounter"
X820,"Intentional collision of motor vehicle with other motor vehicle, initial encounter"
X821,"Intentional collision of motor vehicle with train, initial encounter"
X822,"Intentional collision of motor vehicle with tree, initial encounter"
X828,"Other intentional self-harm by crashing of motor vehicle, initial encounter"
X830,"Intentional self-harm by crashing of aircraft, initial encounter"
X831,"Intentional self-harm by electrocution, initial encounter"
X832,"Intentional self-harm by exposure to extremes of cold, initial encounter"
X838,"Intentional self-harm by other specified means, initial encounter"
X920,"Assault by drowning and submersion while in bathtub, initial encounter"
X921,"Assault by drowning and submersion while in swimming pool, initial encounter"
X922,"Assault by drowning and submersion after push into swimming pool, initial encounter"
X923,"Assault by drowning and submersion in natural water, initial encounter"
X928,"Other assault by drowning and submersion, initial encounter"
X929,"Assault by drowning and submersion, unspecified, initial encounter"
X93X,"Assault by handgun discharge, initial encounter"
X940,"Assault by shotgun, initial encounter"
X941,"Assault by hunting rifle, initial encounter"
X942,"Assault by machine gun, initial encounter"
X948,"Assault by other larger firearm discharge, initial encounter"
X949,"Assault by unspecified larger firearm discharge, initial encounter"
X950,"Assault by airgun discharge, initial encounter"
X958,"Assault by other firearm discharge, initial encounter"
X959,"Assault by unspecified firearm discharge, initial encounter"
X960,"Assault by antipersonnel bomb, initial encounter"
X961,"Assault by gasoline bomb, initial encounter"
X962,"Assault by letter bomb, initial encounter"
X963,"Assault by fertilizer bomb, initial encounter"
X964,"Assault by pipe bomb, initial encounter"
X968,"Assault by other specified explosive, initial encounter"
X969,"Assault by unspecified explosive, initial encounter"
X97X,"Assault by smoke, fire and flames, initial encounter"
X980,"Assault by steam or hot vapors, initial encounter"
X981,"Assault by hot tap water, initial encounter"
X982,"Assault by hot fluids, initial encounter"
X983,"Assault by hot household appliances, initial encounter"
X988,"Assault by other hot objects, initial encounter"
X989,"Assault by unspecified hot objects, initial encounter"
X990,"Assault by sharp glass, initial encounter"
X991,"Assault by knife, initial encounter"
X992,"Assault by sword or dagger, initial encounter"
X998,"Assault by other sharp object, initial encounter"
X999,"Assault by unspecified sharp object, initial encounter"
Y00X,"Assault by blunt object, initial encounter"
Y01X,"Assault by pushing from high place, initial encounter"
Y020,"Assault by pushing or placing victim in front of motor vehicle, initial encounter"
Y021,"Assault by pushing or placing victim in front of (subway) train, initial encounter"
Y028,"Assault by pushing or placing victim in front of other moving object, initial encounter"
Y030,"Assault by being hit or run over by motor vehicle, initial encounter"
Y038,"Other assault by crashing of motor vehicle, initial encounter"
Y040,"Assault by unarmed brawl or fight, initial encounter"
Y041,"Assault by human bite, initial encounter"
Y042,"Assault by strike against or bumped into by another person, initial encounter"
Y048,"Assault by other bodily force, initial encounter"
Y070,"Husband, perpetrator of maltreatment and neglect"
Y071,"Biological father, perpetrator of maltreatment and neglect"
Y074,"Brother, perpetrator of maltreatment and neglect"
Y075,"Unspecified non-family member, perpetrator of maltreatment and neglect"
Y076,Multiple perpetrators of maltreatment and neglect
Y079,Unspecified perpetrator of maltreatment and neglect
Y080,"Assault by strike by hockey stick, initial encounter"
Y088,"Assault by crashing of aircraft, initial encounter"
Y09,Assault by unspecified means
Y210,"Drowning and submersion while in bathtub, undetermined intent, initial encounter"
Y211,"Drowning and submersion after fall into bathtub, undetermined intent, initial encounter"
Y212,"Drowning and submersion while in swimming pool, undetermined intent, initial encounter"
Y213,"Drowning and submersion after fall into swimming pool, undetermined intent, initial encounter"
Y214,"Drowning and submersion in natural water, undetermined intent, initial encounter"
Y218,"Other drowning and submersion, undetermined intent, initial encounter"
Y219,"Unspecified drowning and submersion, undetermined intent, initial encounter"
Y22X,"Handgun discharge, undetermined intent, initial encounter"
Y230,"Shotgun discharge, undetermined intent, initial encounter"
Y231,"Hunting rifle discharge, undetermined intent, initial encounter"
Y232,"Military firearm discharge, undetermined intent, initial encounter"
Y233,"Machine gun discharge, undetermined intent, initial encounter"
Y238,"Other larger firearm discharge, undetermined intent, initial encounter"
Y239,"Unspecified larger firearm discharge, undetermined intent, initial encounter"
Y240,"Airgun discharge, undetermined intent, initial encounter"
Y248,"Other firearm discharge, undetermined intent, initial encounter"
Y249,"Unspecified firearm discharge, undetermined intent, initial encounter"
Y25X,"Contact with explosive material, undetermined intent, initial encounter"
Y26X,"Exposure to smoke, fire and flames, undetermined intent, initial encounter"
Y270,"Contact with steam and hot vapors, undetermined intent, initial encounter"
Y271,"Contact with hot tap water, undetermined intent, initial encounter"
Y272,"Contact with hot fluids, undetermined intent, initial encounter"
Y273,"Contact with hot household appliance, undetermined intent, initial encounter"
Y278,"Contact with other hot objects, undetermined intent, initial encounter"
Y279,"Contact with unspecified hot objects, undetermined intent, initial encounter"
Y280,"Contact with sharp glass, undetermined intent, initial encounter"
Y281,"Contact with knife, undetermined intent, initial encounter"
Y282,"Contact with sword or dagger, undetermined intent, initial encounter"
Y288,"Contact with other sharp object, undetermined intent, initial encounter"
Y289,"Contact with unspecified sharp object, undetermined intent, initial encounter"
Y29X,"Contact with blunt object, undetermined intent, initial encounter"
Y30X,"Falling, jumping or pushed from a high place, undetermined intent, initial encounter"
Y31X,"Falling, lying or running before or into moving object, undetermined intent, initial encounter"
Y32X,"Crashing of motor vehicle, undetermined intent, initial encounter"
Y33X,"Other specified events, undetermined intent, initial encounter"
Y350,"Legal intervention involving unspecified firearm discharge, law enforcement official injured, initial encounter"
Y351,"Legal intervention involving unspecified explosives, law enforcement official injured, initial encounter"
Y352,"Legal intervention involving unspecified gas, law enforcement official injured, initial encounter"
Y353,"Legal intervention involving unspecified blunt objects, law enforcement official injured, initial encounter"
Y354,"Legal intervention involving unspecified sharp objects, law enforcement official injured, initial encounter"
Y358,"Legal intervention involving manhandling, law enforcement official injured, initial encounter"
Y359,"Legal intervention, means unspecified, law enforcement official injured, initial encounter"
Y360,"War operations involving explosion of unspecified marine weapon, military personnel, initial encounter"
Y361,"War operations involving unspecified destruction of aircraft, military personnel, initial encounter"
Y362,"War operations involving unspecified explosion and fragments, military personnel, initial encounter"
Y363,"War operations involving unspecified fire, conflagration and hot substance, military personnel, initial encounter"
Y364,"War operations involving rubber bullets, military personnel, initial encounter"
Y365,"War operations involving unspecified effect of nuclear weapon, military personnel, initial encounter"
Y366,"War operations involving biological weapons, military personnel, initial encounter"
Y367,"War operations involving chemical weapons and other forms of unconventional warfare, military personnel, initial encounter"
Y368,"Explosion of mine placed during war operations but exploding after cessation of hostilities, military personnel, initial encounter"
Y369,"War operations, unspecified, initial encounter"
Y370,"Military operations involving explosion of unspecified marine weapon, military personnel, initial encounter"
Y371,"Military operations involving unspecified destruction of aircraft, military personnel, initial encounter"
Y372,"Military operations involving unspecified explosion and fragments, military personnel, initial encounter"
Y373,"Military operations involving unspecified fire, conflagration and hot substance, military personnel, initial encounter"
Y374,"Military operations involving rubber bullets, military personnel, initial encounter"
Y375,"Military operations involving unspecified effect of nuclear weapon, military personnel, initial encounter"
Y376,"Military operations involving biological weapons, military personnel, initial encounter"
Y377,"Military operations involving chemical weapons and other forms of unconventional warfare, military personnel, initial encounter"
Y379,"Military operations, unspecified, initial encounter"
Y380,"Terrorism involving explosion of marine weapons, public safety official injured, initial encounter"
Y381,"Terrorism involving destruction of aircraft, public safety official injured, initial encounter"
Y382,"Terrorism involving other explosions and fragments, public safety official injured, initial encounter"
Y383,"Terrorism involving fires, conflagration and hot substances, public safety official injured, initial encounter"
Y384,"Terrorism involving firearms, public safety official injured, initial encounter"
Y385,"Terrorism involving nuclear weapons, public safety official injured, initial encounter"
Y386,"Terrorism involving biological weapons, public safety official injured, initial encounter"
Y387,"Terrorism involving chemical weapons, public safety official injured, initial encounter"
Y388,"Terrorism involving unspecified means, initial encounter"
